Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,22989,0,6
6/9/2020,23002,26,450
6/9/2020,23004,11,67
6/9/2020,23005,64,661
6/9/2020,23009,20,230
6/9/2020,23011,Suppressed*,33
6/9/2020,23015,11,137
6/9/2020,23021,0,8
6/9/2020,23022,8,56
6/9/2020,23023,Suppressed*,9
6/9/2020,23024,34,310
6/9/2020,23025,0,9
6/9/2020,23027,6,66
6/9/2020,23030,19,201
6/9/2020,23032,0,9
6/9/2020,23035,Suppressed*,25
6/9/2020,23038,8,66
6/9/2020,23039,Suppressed*,37
6/9/2020,23040,28,222
6/9/2020,23043,Suppressed*,53
6/9/2020,23045,0,2
6/9/2020,23047,6,47
6/9/2020,23050,Suppressed*,14
6/9/2020,23055,39,81
6/9/2020,23056,0,0
6/9/2020,23059,76,995
6/9/2020,23060,156,1348
6/9/2020,23061,19,602
6/9/2020,23062,5,74
6/9/2020,23063,58,277
6/9/2020,23064,0,2
6/9/2020,23065,Suppressed*,58
6/9/2020,23066,0,5
6/9/2020,23068,0,8
6/9/2020,23069,9,106
6/9/2020,23070,0,16
6/9/2020,23071,Suppressed*,55
6/9/2020,23072,8,280
6/9/2020,23075,134,526
6/9/2020,23076,0,18
6/9/2020,23079,0,12
6/9/2020,23083,7,86
6/9/2020,23084,6,98
6/9/2020,23085,Suppressed*,10
6/9/2020,23086,5,89
6/9/2020,23089,8,196
6/9/2020,23091,0,18
6/9/2020,23092,0,26
6/9/2020,23093,34,641
6/9/2020,23102,9,88
6/9/2020,23103,23,197
6/9/2020,23106,Suppressed*,33
6/9/2020,23108,0,2
6/9/2020,23109,Suppressed*,55
6/9/2020,23110,0,16
6/9/2020,23111,116,1458
6/9/2020,23112,142,1856
6/9/2020,23113,124,1123
6/9/2020,23114,61,727
6/9/2020,23115,13,12
6/9/2020,23116,123,1134
6/9/2020,23117,21,404
6/9/2020,23119,Suppressed*,8
6/9/2020,23120,40,388
6/9/2020,23123,16,163
6/9/2020,23124,6,163
6/9/2020,23125,0,1
6/9/2020,23126,0,12
6/9/2020,23128,Suppressed*,29
6/9/2020,23129,0,5
6/9/2020,23130,Suppressed*,9
6/9/2020,23138,0,7
6/9/2020,23139,40,741
6/9/2020,23140,22,246
