source ,,http://www.vdh.virginia.gov/coronavirus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockbridge,12,51163,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,1,5,0,1,4,0,1,0,4,0,3,3,5,0,0,1,2,1,0,2,0,0,0,0,0,1,0,2,0,1,2,1,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
Rockingham,13,51165,0,0,2,0,0,1,0,4,2,0,4,1,0,1,4,1,10,13,0,6,7,11,2,14,17,0,6,16,23,18,13,8,0,9,23,4,20,9,10,6,4,13,20,8,10,19,5,16,4,9,8,7,0,2,8,4,13,20,10,8,1,14,11,5,7,15,6,7,23,4,3,7,6,11,8,9,7,6,4,8,7,6,2,2,5,5,5,5,2,4,3,3,11,11,16,6,6,7,0,10,9,4,3,0,7,7,5,8,7,4,13,4,4,5,6,4,0,12,4,3,2,3,9,2,8,10,8,5,7,8,3,7,11,1,5,8,5,0,8,4,7,6,1,4,7,4,1,2,5,3,0,0,0,0,0,0,0,0,0,0,
Buena Vista City,14,51530,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,3,2,0,3,0,1,3,0,0,2,5,1,0,4,2,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,6,2,4,2,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,
Harrisonburg,15,51660,0,2,2,0,0,1,0,4,5,7,0,3,2,0,9,3,18,22,2,6,8,6,18,95,19,3,16,12,54,28,9,15,1,12,23,5,15,30,14,8,19,28,19,8,22,4,1,4,1,23,8,5,11,1,1,14,28,20,9,5,7,11,15,4,11,8,9,5,18,2,10,5,3,6,9,1,4,5,4,4,0,8,1,3,5,6,4,11,4,4,3,5,6,6,12,8,3,3,0,4,16,6,3,0,1,5,3,1,2,1,9,4,4,3,2,3,2,3,1,3,2,3,3,3,4,7,2,0,2,6,3,7,10,4,1,5,1,1,2,3,1,3,2,5,6,7,3,6,0,4,0,0,0,0,0,0,0,0,0,0,
Lexington,16,51678,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,1,2,0,2,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Staunton,17,51790,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,3,0,3,2,11,0,1,0,0,1,1,0,1,0,0,1,0,0,0,3,6,2,2,1,2,1,0,1,5,0,0,0,2,3,0,0,0,1,1,0,3,1,1,1,0,0,0,0,0,4,1,1,0,0,3,2,1,1,3,1,5,5,0,3,1,7,2,4,4,0,1,1,4,2,4,3,2,2,2,2,1,0,1,1,1,0,1,0,4,4,0,1,2,0,1,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
Waynesboro,18,51820,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,4,0,0,1,0,0,0,0,0,1,0,0,2,4,1,4,3,2,0,1,2,0,0,0,2,3,1,0,0,0,1,1,0,0,1,1,2,0,0,0,1,1,3,3,0,0,3,0,3,1,3,3,1,3,4,1,2,2,3,2,1,2,8,11,1,3,4,2,2,1,3,4,4,5,0,0,7,1,4,6,3,0,1,0,1,0,1,0,0,1,0,0,0,1,5,0,1,3,0,3,5,2,1,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
Amherst,19,51009,0,0,0,1,0,1,0,2,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,1,0,0,0,0,0,1,1,3,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,2,4,3,8,1,5,1,4,5,5,7,4,7,2,4,3,6,4,6,6,7,17,11,10,1,7,1,12,6,4,13,0,6,5,9,9,0,0,0,0,0,0,0,0,0,0,
Appomattox,20,51011,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,5,0,1,0,0,1,3,2,2,4,0,1,0,2,1,1,3,2,6,1,1,2,1,1,4,5,4,1,0,6,4,8,4,0,0,0,0,0,0,0,0,0,0,
Bedford,21,51019,0,1,0,0,0,0,0,1,0,0,1,0,1,3,4,0,3,0,0,1,0,0,0,1,0,1,0,1,1,1,2,1,0,1,0,2,3,3,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,4,6,3,2,0,1,9,4,3,0,2,2,0,4,5,0,0,3,2,0,1,3,1,0,4,1,2,1,0,2,5,4,1,6,6,6,0,3,0,0,2,2,12,6,5,3,4,2,1,1,3,10,10,6,5,5,7,8,4,8,11,6,25,7,6,8,4,10,6,14,6,12,2,6,3,7,7,13,17,4,11,7,11,6,0,0,0,0,0,0,0,0,0,0,
